Question|KbArticle|WrongMatchingKBArticle
I have a doubt on my metering as i am getting high amount in my invoice|High Bill|Total Amount in Monthly Bill
What is electricity and water connection activation time|Service Activation Time (Move-In)
Can you tell me how to register for the mobile pay service|mPay Register
Is ContosoInc payment possible through dubai smart government|mPay Register
What should I do before getting clearance certificate|Clearance Certificate Request
Can I pay my bill|ContosoInc Bill Inquiry|
How much time it will take to update if i pay through mpay|mPay Transaction
What are the documents needed for new connection|Move-In Activation of Supply
How can i understand my bill|Green Bill|Pay ContosoInc bill via mobile
How did you calculate my bill|Tariff Calculation method
How can i reduce my electricity consumption|Cooling saving energy
What are the important measures  to be taken  in kitchen and bathroom for saving energy loss from air conditioner|Cooling saving energy
What are  ventellation practises to be followed  to conserve energy from  air conditioner|Cooling saving energy
How is the bill calculated|Tariff Calculation method
How do you calculate my consumption based on meter readings|Tariff Calculation Methods
How can i update my personal information in ContosoInc|Account holder Name Change|Pay ContosoInc bill via mobile
How much time it will take for you to correct my informaiton in ContosoInc|Address Change Request|Service activation time
How much time it will take for you to correct my information in ContosoInc|Address Change Request|Service activation time
What are the documents needed for updating my information  in ContosoInc bill|Account holder Name Change|Move -In Activation of Supply Process
How can i get my bill details|ContosoInc Bill Inquiry|Tariff Calculation Method
Do i need to register for getting my bill data|Online Registration
How can i register for ContosoInc|Online Registration|Pay ContosoInc bill via mobile
How can i be registered customer in ContosoInc|Online Registration|ContosoInc Customer Happiness Centers locations and working hours
Can i request my clearance letter through mobile|Clearance Certificate Request|Clearance Certificate
Is there any amount to be paid for getting clearance|Clearance Certification Fee|Move-In Activation of Supply Process
Is there any muncipality charges through ContosoInc bills|Housing Fee|District cooling charges
Which number to contact for getting clarifications on my bill|High Bill
Can I pay through EPPCO|payment methods
Can I pay through ENOC|payment methods
Can I pay through drive in|payment methods
What are the ways to pay my bill|payment methods
is there any branch working today|ContosoInc Working Hours
What is Ash’ir service|Sign Language (Ash'ir Service)
can special needs customers communicate with ContosoInc customer service|ContosoInc Customer Happiness Centers locations and working hours
How can a disabled person contact ContosoInc|Sign Language (Ash'ir Service)|ContosoInc mobile payment
Why I have other service in my bill|Other Services mean
How is the total calculated in my bill|Total Amount in Monthly Bill|Fuel surcharge options
Why I am seeing adjustment in my bill|Bill Adjustments
What is adjustment in my bill|Bill Adjustments
What is mutiplication factor|Multiplication Factor (MF)
What is multiplication factor|Multiplication Factor (MF)
What is the best time to water my plants|water consumption  tips during peak hours
How can i charge my car|Electrical Vehicle Charging Station (Green Charger)
How many charging centres are availabl|Electrical Vehicle Charging Station (Green Charger)
How can I charge my electric car|Electrical Vehicle Charging Station (Green Charger)
How to maintain my bulbs|Lighting type for conservation tips
What do you recommend to save energy from my freezer|Appliance Conservation Tips
What is the best practise for baking|Oven Conservation Tips
What is the best practise for saving energy while roasting|Oven Conservation Tips
What is the best practise for saving energy while boiling|Cooking Appliance Conservation Tips
What is the best type of lighting to be used in order to save energy|Cooking Appliance Conservation Tips
Why my light illumination is less|Lighting conservation tips
Can you help me with water conservation tips|Water tank conservation tips|General water conservation tips
