1	Conservation Award	What is the objective of ContosoInc conservation award?
2	Conservation Award	What's conservation award?
3	Conservation Award	Can you explain what the ContosoInc conservation award is?
4	Conservation Award	What do you know about the conservation award?
5	Consumer Award	What is the objective of ContosoInc consumer award?
6	Consumer Award	What's a consumer award?
7	Consumer Award	Can you tell me what the consumer award is?
8	Consumer Award	What do you know about ContosoInc Consumer Award?
9	Green Bill 	What is a Green Bill?
10	Green Bill 	What's green bill?
11	Green Bill 	Can you tell me about green bill?
12	Green Bill 	Is green bill an electronic version of the paper bill?
13	Billing Cycle	I would like to inquire about the period covered in ContosoInc Bill?
14	Billing Cycle	What period is covered in billing cycle?
15	Billing Cycle	What's the billing cycle?
16	Billing Cycle	What period is covered in ContosoInc bill?
17	Billing Cycle	How long is the billing cycle?
18	Contract Account Number	What a Contract Account Number is and where to find it?
19	Contract Account Number	What's the contract number ?
20	Contract Account Number	Where can I find my contract number?
21	Contract Account Number	Where is contract number located?
22	Contract Account Number	Can you help me find my contract number?
23	Contract Account Number	Can you help me identify my contract account number?
24	Contract Account Number	What is account number?
25	Service Activation Time (Move-In)	How long does it take to activate ContosoInc services (electricity and water supply) after registration and payment of security deposit?
26	Service Activation Time (Move-In)	How long before my service is activated?
27	Service Activation Time (Move-In)	When would my water service be activated?
28	Service Activation Time (Move-In)	When would you activate my electricity service?
29	Service Activation Time (Move-In)	When will my electricity be activated?
30	Service Activation Time (Move-In)	When is my water supply activated?
31	Service Activation Time (Move-In)	Why my electricity has not been connected?
32	Service Activation Time (Move-In)	How long it take to do move in?
33	Service Activation Time (Move-In)	How long the move-in takes place?
34	Pay ContosoInc bill via mobile	Can I pay my ContosoInc Bill through my mobile?
35	Pay ContosoInc bill via mobile	Do you have a mobile pay option?
36	Pay ContosoInc bill via mobile	Can I pay my bill through my cell phone?
37	Pay ContosoInc bill via mobile	Dose payment can be through  mobile app options?
38	Pay ContosoInc bill via mobile	Does ContosoInc have a mobile pay ?
39	mPay Register	How do I register for the mPay service?
40	mPay Register	Can you tell me how to register for the mobile pay service ?
41	mPay Register	How can I get the mPay service
42	mPay Register	What's the link to the mPay?
43	mPay Transaction	How long does it take for the payment made through mPay service to reflect in my ContosoInc account?
44	mPay Transaction	How long before my mPay payment is reflected on my account?
45	mPay Transaction	Will my mPay payment show immediately on the account?
46	mPay Transaction	How long would it take to process my payment through mPay?
47	Final Bill Request-move out 	Can I request for a Final Bill through ContosoInc website?
48	Final Bill Request-move out 	Do you have the final bill request online?
49	Final Bill Request-move out 	Can I request a final bill on the ContosoInc website?
50	Final Bill Request-move out 	Do you know if a final bill can be requested online?
51	Final Bill Request-move out 	Can I request for a Final Bill through ContosoInc Mobile App?
52	Final Bill Request-move out 	Can I request  move out through ContosoInc Mobile App?
53	Final Bill Request-move out 	Can I request  move out through ContosoInc website?
54	Move-In Activation of Supply	What is new activation of supply?
55	Move-In Activation of Supply	What is move in service?
56	Move-In Activation of Supply Process 	How to do Move in?
57	Move-In Activation of Supply Process 	How to activate supply?
58	Move-In Activation of Supply Process 	How to request supply of water and electricity?
59	Move-In Activation of Supply Process 	How to submit for move in?
60	Move-In Activation of Supply Process 	What is the procedure to apply for Move In?
61	Channels providing move in service 	What are channels providing move in service ?
62	Final Bill Settlement	Can I authorize someone to settle the Final Bill on my behalf?
